成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101105328163,3室1厅,泾渭上城,54.76,39,40,7104,174,2020.01.18,南北,毛坯,,中楼层(共6层),暂无数据
101105609325,1室0厅,宫园壹号二期,40.04,63,64,15685,141,2020.01.18,东,精装,,中楼层(共33层),板塔结合
101104472181,3室2厅,龙湖香醍天宸,87.68,130,132,14827,283,2020.01.18,南,毛坯,,低楼层(共34层),板楼
101106770199,3室1厅,白庙小区,75,79,82,10534,2,2020.01.18,南北,其他,,中楼层(共7层),板楼
101106123890,2室2厅,昆明花园,90.13,134,137,14812,83,2020.01.18,南,精装,,中楼层(共30层),板楼
101106151461,2室2厅,大华阳光曼哈顿,72,102,104,14139,80,2020.01.18,西南,简装,,低楼层(共34层),板塔结合
101105521477,2室1厅,裕昌太阳城,100.58,136,140,13522,151,2020.01.18,南北,精装,,中楼层(共33层),板塔结合
101106107405,2室1厅,西安市联运总公司家属院,65.29,66,66,10109,85,2020.01.18,西南,简装,,中楼层(共7层),暂无数据
101106578214,2室2厅,白庙小区,58.99,65,66,11019,31,2020.01.18,南西,精装,,高楼层(共7层),板楼
101106022479,3室2厅,中海碧林湾,121.51,217,228,17859,94,2020.01.18,南,简装,,高楼层(共33层),板塔结合
101103671814,3室2厅,新兴骏景园,103.41,110,115,10638,436,2020.01.18,南,简装,,低楼层(共11层),板楼
101104979722,3室2厅,水岸东方3期,120,142,145,11834,214,2020.01.18,南,精装,,高楼层(共18层),板塔结合
101106581338,2室2厅,西安市启智学校家属院,66.5,82,83,12256,30,2020.01.18,南北,简装,,中楼层(共6层),暂无数据
101103064209,5室4厅,浐灞半岛A11区,307,830,860,27036,560,2020.01.18,南北,毛坯,,低楼层(共2层),暂无数据
101106252033,3室2厅,荣城名苑,104.31,142,145,13614,68,2020.01.18,南北,精装,,低楼层(共27层),板塔结合
101106136088,2室2厅,吉安小区,89.76,72,75,8000,81,2020.01.18,南北,毛坯,,高楼层(共7层),板楼
101106711722,2室1厅,恒佳首座,75.78,90,91,11877,10,2020.01.17,东南,精装,,中楼层(共22层),板塔结合
101105371458,2室1厅,沁水新城,90.97,110,115,12092,168,2020.01.17,南,精装,,低楼层(共24层),板楼
101105878870,3室1厅,双鱼花园广场,120.99,129,130,10621,111,2020.01.17,南,精装,,高楼层(共24层),塔楼
101105702578,3室2厅,双威理想城,131.58,199,188,15124,130,2020.01.17,南北,简装,,中楼层(共33层),板塔结合
101105953320,2室2厅,西控花园,89.11,104,106,11627,100,2020.01.17,东南,简装,,高楼层(共32层),板塔结合
101106479266,2室1厅,榕青无界,65.34,86,88,13162,38,2020.01.17,南,精装,,中楼层(共28层),塔楼
101105717393,3室2厅,春天花园,107.55,109,110,10135,128,2020.01.17,西南,精装,,低楼层(共28层),塔楼
101106395127,2室2厅,凯森福景美地,89.23,100,110,11207,49,2020.01.16,东南,精装,,高楼层(共30层),板楼
101106691747,3室2厅,中海凯旋门,104.9,207,210,19734,13,2020.01.16,南北,精装,,中楼层(共18层),板塔结合
101104776159,2室2厅,天朗大兴郡,82.59,116,118,14046,240,2020.01.16,南,简装,,中楼层(共27层),板塔结合
101106299620,2室2厅,翠屏湾二期,93.5,110,112,11712,61,2020.01.16,南,毛坯,,高楼层(共18层),板塔结合
101106436119,2室1厅,东方广场,98.37,110,113,11132,43,2020.01.16,西南,精装,,低楼层(共30层),板塔结合
101106680322,2室1厅,陕西华山半导体小区,54.41,67,68,12289,14,2020.01.16,北南,精装,,低楼层(共6层),暂无数据
101106426900,2室1厅,枫韵蓝湾,88.3,130,132,14723,44,2020.01.16,南,简装,,高楼层(共18层),板塔结合
101104972099,2室2厅,中海观园A区,88.9,181,185,20360,214,2020.01.16,南,精装,,中楼层(共32层),板塔结合
101106640645,2室1厅,伟业公馆,94.78,172,176,18148,20,2020.01.16,南北,精装,,中楼层(共32层),板塔结合
101103038195,3室2厅,香克林小镇,130.23,180,185,13822,565,2020.01.16,南北,精装,,高楼层(共30层),板塔结合
101105440927,3室2厅,融创天朗臻园,120,210,219,17500,159,2020.01.16,南北,精装,,低楼层(共11层),板塔结合
101106616627,1室1厅,海棠别馆,58.64,94,95,15911,23,2020.01.16,南,精装,,高楼层(共26层),板塔结合
101105435686,2室1厅,明德门(南西区),68,60,63,8824,160,2020.01.16,西北,简装,,高楼层(共7层),塔楼
101106079278,2室1厅,凤苑新居,94.63,85,86,8983,87,2020.01.16,南北,简装,,高楼层(共6层),板楼
101106477759,1室1厅,南方星座,56,70,72,12465,38,2020.01.16,南,精装,,中楼层(共30层),塔楼
101105961759,2室1厅,金科天籁城,93.71,132,135,14087,99,2020.01.16,南北,精装,,中楼层(共33层),板塔结合
101106720804,2室2厅,水半湾,78,56,56,7174,9,2020.01.16,南北,毛坯,,中楼层(共6层),暂无数据
101106008965,2室2厅,五湖名邸西区,88.41,108,110,12216,94,2020.01.16,南北,毛坯,,低楼层(共33层),板塔结合
101106702805,3室1厅,枣园南岭省印家属院,90,90,91,10000,11,2020.01.16,南北,简装,,低楼层(共7层),板塔结合
101106574985,3室2厅,水榭花都,122.46,70,70,5717,29,2020.01.16,南北,其他,,中楼层(共6层),暂无数据
101106021058,3室2厅,金科天籁城,130.17,180,183,13829,92,2020.01.16,南北,毛坯,,中楼层(共33层),板塔结合
101106137719,2室1厅,东方罗马花园,32.63,63,64,19308,79,2020.01.16,北,精装,,中楼层(共10层),板塔结合
101106634231,2室1厅,复地优尚国际一期,76.41,116,119,15182,20,2020.01.16,西南,精装,,低楼层(共27层),板塔结合
