成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101105751164,1室1厅,南方星座,54.68,60,61.0,10973,125,2020.01.18,东北,精装,塔楼,31.35190937998201,121.36237036356096,低楼层,30
101106680029,1室0厅,嘉泰隆小区,55.19,66,69.0,11959,16,2020.01.18,西北,精装,塔楼,34.285270820178354,108.94946813679984,中楼层,20
101106591796,3室1厅,乐园小区,85.26,82,82.3,9571,29,2020.01.18,南北,精装,板楼,39.81052219451294,116.33508217870146,中楼层,5
101105990634,2室1厅,金裕青青家园西区,96.99,92,94.0,9486,98,2020.01.18,南北,精装,板楼,24.14672271352707,120.67499229103841,中楼层,6
101106744155,2室2厅,泾渭明珠小区,45.0,39,39.0,8623,7,2020.01.18,南,毛坯,板塔结合,34.45163966286509,108.99143068208744,中楼层,16
101106455461,3室2厅,盛世长安,96.57,131,131.0,13566,43,2020.01.18,南北,精装,板塔结合,34.174001067210455,108.88467398917899,中楼层,18
101106618132,2室1厅,天朗莱茵小城,66.21,89,95.0,13443,25,2020.01.18,东北,精装,塔楼,30.672103258687855,104.08871950535169,低楼层,27
101106773915,3室2厅,蔚蓝花城七色镇B区,140.52,27,200.0,1901,1,2020.01.18,南北,其他,板塔结合,30.552390861730046,104.26240975028357,高楼层,11
101105328163,3室1厅,泾渭上城,54.76,39,40.0,7104,174,2020.01.18,南北,毛坯,暂无数据,30.248398420425882,120.17557880007278,中楼层,6
101105609325,1室0厅,宫园壹号二期,40.04,63,64.0,15685,141,2020.01.18,东,精装,板塔结合,34.297748105756696,108.95483551222196,中楼层,33
101104472181,3室2厅,龙湖香醍天宸,87.68,130,132.0,14827,283,2020.01.18,南,毛坯,板楼,23.37777578062844,116.7235246469334,低楼层,34
101106770199,3室1厅,白庙小区,75.0,79,82.0,10534,2,2020.01.18,南北,其他,板楼,34.803106186164456,113.67759498512964,中楼层,7
101106123890,2室2厅,昆明花园,90.13,134,137.0,14812,83,2020.01.18,南,精装,板楼,24.873998150044006,102.85244836500482,中楼层,30
101106151461,2室2厅,大华阳光曼哈顿,72.0,102,104.0,14139,80,2020.01.18,西南,简装,板塔结合,31.28625674288394,121.42256967849826,低楼层,34
101105521477,2室1厅,裕昌太阳城,100.58,136,140.0,13522,151,2020.01.18,南北,精装,板塔结合,23.134635920545662,113.62211490356783,中楼层,33
101106107405,2室1厅,西安市联运总公司家属院,65.29,66,66.0,10109,85,2020.01.18,西南,简装,暂无数据,34.23958403565923,108.9719079881002,中楼层,7
101106578214,2室2厅,白庙小区,58.99,65,66.0,11019,31,2020.01.18,南西,精装,板楼,34.803106186164456,113.67759498512964,高楼层,7
101106022479,3室2厅,中海碧林湾,121.51,217,228.0,17859,94,2020.01.18,南,简装,板塔结合,31.14635871966439,121.36002677431598,高楼层,33
101103671814,3室2厅,新兴骏景园,103.41,110,115.0,10638,436,2020.01.18,南,简装,板楼,22.633000656484366,120.31721860955945,低楼层,11
101104979722,3室2厅,水岸东方3期,120.0,142,145.0,11834,214,2020.01.18,南,精装,板塔结合,19.10110473128863,108.65856652679174,高楼层,18
